"urdu","roman"
"ہوئی ہی حضرت ناصح سی گفتگو جس شب","hui hai hazratenaseh se guftugu jis shab"
"وہ شب ضرور سر کوئی یار گزری ہی","vo shab zarur sarekueyar guzri hai"
"وہ بات ساری فسانی میں جس کا ذکر نہ تہا","vo baat saare fasane men jis ka zikr na tha"
"وہ بات ان کو بہت نا گوار گزری ہی","vo baat un ko bahut nagavar guzri hai"
"نہ گل کہلی ہیں نہ ان سی ملی نہ می پی ہی","na gul khile hain na un se mile na mai pi hai"
"عجیب رنگ میں اب کی بہار گزری ہی","ajiib rang men ab ke bahar guzri hai"
"چمن پہ غارت گلچیں سی جانی کیا گزری","chaman pe gharategulchin se jaane kya guzri"
"قفس سی اج صبا بی قرار گزری ہی","qafas se aaj saba beqarar guzri hai"
"تمہاری یاد کی جب زخم بہرنی لگتی ہیں","tumhari yaad ke jab zakhm bharne lagte hain"
"کسی بہانی تمہیں یاد کرنی لگتی ہیں","kisi bahane tumhen yaad karne lagte hain"
"حدیث یار کی عنواں نکہرنی لگتی ہیں","hadiseyar ke unvan nikharne lagte hain"
"تو ہر حریم میں گیسو سنورنی لگتی ہیں","to har harim men gesu sanvarne lagte hain"
"ہر اجنبی ہمیں محرم دکہائی دیتا ہی","har ajnabi hamen mahram dikhai deta hai"
"جو اب بہی تیری گلی سی گزرنی لگتی ہیں","jo ab bhi teri gali se guzarne lagte hain"
"صبا سی کرتی ہیں غربت نصیب ذکر وطن","saba se karte hain ghurbatnasib zikrevatan"
"تو چشم صبح میں انسو ابہرنی لگتی ہیں","to chashmesubh men aansu ubharne lagte hain"
"وہ جب بہی کرتی ہیں اس نطق و لب کی بخیہ گری","vo jab bhi karte hain is nutq o lab ki bakhiyagari"
"فضا میں اور بہی نغمی بکہرنی لگتی ہیں","faza men aur bhi naghme bikharne lagte hain"
"در قفس پہ اندہیری کی مہر لگتی ہی","dareqafas pe andhere ki mohr lagti hai"
"تو فیضؔ دل میں ستاری اترنی لگتی ہیں","to faiz dil men sitare utarne lagte hain"
"وفائی وعدہ نہیں وعدۂ دگر بہی نہیں","vafaevada nahin vadaedigar bhi nahin"
"وہ مجہ سی روٹہی تو تہی لیکن اس قدر بہی نہیں","vo mujh se ruthe to the lekin is qadar bhi nahin"
"برس رہی ہی حریم ہوس میں دولت حسن","baras rahi hai harimehavas men daulatehusn"
"گدائی عشق کی کاسی میں اک نظر بہی نہیں","gadaeishq ke kaase men ik nazar bhi nahin"
"نہ جانی کس لیی امیدوار بیٹہا ہوں","na jaane kis liye ummidvar baitha huun"
"اک ایسی راہ پہ جو تیری رہ گزر بہی نہیں","ik aisi raah pe jo teri rahguzar bhi nahin"
"نگاہ شوق سر بزم بی حجاب نہ ہو","nigaheshauq sarebazm behijab na ho"
"وہ بی خبر ہی سہی اتنی بی خبر بہی نہیں","vo bekhabar hi sahi itne bekhabar bhi nahin"
"یہ عہد ترک محبت ہی کس لیی اخر","ye ahdetarkemohabbat hai kis liye akhir"
"سکون قلب ادہر بہی نہیں ادہر بہی نہیں","sukuneqalb udhar bhi nahin idhar bhi nahin"
"وہ بتوں نی ڈالی ہیں وسوسی کہ دلوں سی خوف خدا گیا","vo buton ne daale hain vasvase ki dilon se khaufekhuda gaya"
"وہ پڑی ہیں روز قیامتیں کہ خیال روز جزا گیا","vo padi hain roz qayamaten ki khayalerozejaza gaya"
"جو نفس تہا خار گلو بنا جو اٹہی تہی ہاتہ لہو ہوئی","jo nafas tha kharegulu bana jo uthe the haath lahu hue"
"وہ نشاط اہ سحر گئی وہ وقار دست دعا گیا","vo nashateahesahr gai vo vaqaredastedua gaya"
"نہ وہ رنگ فصل بہار کا نہ روش وہ ابر بہار کی","na vo rang faslebahar ka na ravish vo abrebahar ki"
"جس ادا سی یار تہی اشنا وہ مزاج باد صبا گیا","jis ada se yaar the ashna vo mizajebadesaba gaya"
"جو طلب پہ عہد وفا کیا تو وہ ابروئی وفا گئی","jo talab pe ahdevafa kiya to vo abruevafa gai"
"سر عام جب ہوئی مدعی تو ثواب صدق و صفا گیا","saream jab hue muddai to savabesidqosafa gaya"
"ابہی بادبان کو تہ رکہو ابہی مضطرب ہی رخ ہوا","abhi badban ko tah rakho abhi muztarib hai rukhehava"
"کسی راستی میں ہی منتظر وہ سکوں جو ا کی چلا گیا","kisi raste men hai muntazir vo sukun jo aa ke chala gaya"
"یہ جفائی غم کا چارہ وہ نجات دل کا عالم","ye jafaegham ka chara vo najatedil ka aalam"
"ترا حسن دست عیسی تری یاد روئی مریم","tira husn dasteisa tiri yaad ruemaryam"
"دل و جاں فدائی راہی کبہی ا کی دیکہ ہمدم","dil o jaan fidaerahe kabhi aa ke dekh hamdam"
"سر کوئی دل فگاراں شب ارزو کا عالم","sarekuedilfigaran shabearzu ka aalam"
"تری دید سی سوا ہی تری شوق میں بہاراں","tiri diid se siva hai tire shauq men baharan"
"وہ چمن جہاں گری ہی تری گیسوؤں کی شبنم","vo chaman jahan giri hai tire gesuon ki shabnam"
"یہ عجب قیامتیں ہیں تری رہ گزر میں گزراں","ye ajab qayamaten hain tire rahguzar men guzaran"
"نہ ہوا کہ مر مٹیں ہم نہ ہوا کہ جی اٹہیں ہم","na hua ki mar miten ham na hua ki ji uthen ham"
"لو سنی گئی ہماری یوں پہری ہیں دن کہ پہر سی","lo suni gai hamari yuun phire hain din ki phir se"
"وہی گوشۂ قفس ہی وہی فصل گل کا ماتم","vahi goshaeqafas hai vahi faslegul ka matam"
"یہ کس خلش نی پہر اس دل میں اشیانہ کیا","ye kis khalish ne phir is dil men ashiyana kiya"
"پہر اج کس نی سخن ہم سی غائبانہ کیا","phir aaj kis ne sukhan ham se ghaebana kiya"
"غم جہاں ہو رخ یار ہو کہ دست عدو","ghamejahan ho rukheyar ho ki dasteadu"
"سلوک جس سی کیا ہم نی عاشقانہ کیا","suluk jis se kiya ham ne ashiqana kiya"
"تہی خاک راہ بہی ہم لوگ قہر طوفاں بہی","the khakerah bhi ham log qahretufan bhi"
"سہا تو کیا نہ سہا اور کیا تو کیا نہ کیا","saha to kya na saha aur kiya to kya na kiya"
"خوشا کہ اج ہر اک مدعی کی لب پر ہی","khusha ki aaj har ik muddai ke lab par hai"
"وہ راز جس نی ہمیں راندۂ زمانہ کیا","vo raaz jis ne hamen randaezamana kiya"
"وہ حیلہ گر جو وفا جو بہی ہی جفاخو بہی","vo hilagar jo vafaju bhi hai jafakhu bhi"
"کیا بہی فیضؔ تو کس بت سی دوستانہ کیا","kiya bhi faiz to kis but se dostana kiya"
"یوں سجا چاند کہ جہلکا تری انداز کا رنگ","yuun saja chand ki jhalka tire andaz ka rang"
"یوں فضا مہکی کہ بدلا مری ہم راز کا رنگ","yuun faza mahki ki badla mire hamraz ka rang"
"سایۂ چشم میں حیراں رخ روشن کا جمال","sayaechashm men hairan rukheraushan ka jamal"
"سرخی لب میں پریشاں تری اواز کا رنگ","surkhielab men pareshan tiri avaz ka rang"
"بی پیی ہوں کہ اگر لطف کرو اخر شب","bepiye huun ki agar lutf karo akhireshab"
"شیشۂ می میں ڈہلی صبح کی اغاز کا رنگ","shishaemai men dhale subh ke aghaz ka rang"
"چنگ و نی رنگ پہ تہی اپنی لہو کی دم سی","chang o nai rang pe the apne lahu ke dam se"
"دل نی لی بدلی تو مدہم ہوا ہر ساز کا رنگ","dil ne lai badli to maddham hua har saaz ka rang"
"اک سخن اور کہ پہر رنگ تکلم تیرا","ik sukhan aur ki phir rangetakallum tera"
"حرف سادہ کو عنایت کری اعجاز کا رنگ","harfesada ko inayat kare eajaz ka rang"
"ائی ہی کچہ نہ پوچہ قیامت کہاں کہاں","aai hai kuchh na puchh qayamat kahan kahan"
"اف لی گئی ہی مجہ کو محبت کہاں کہاں","uf le gai hai mujh ko mohabbat kahan kahan"
"بیتابی و سکوں کی ہوئیں منزلیں تمام","betabiosukun ki huiin manzilen tamam"
"بہلائیں تجہ سی چہٹ کی طبیعت کہاں کہاں","bahlaen tujh se chhut ke tabiat kahan kahan"
"فرقت ہو یا وصال وہی اضطراب ہی","furqat ho ya visal vahi iztirab hai"
"تیرا اثر ہی ای غم فرقت کہاں کہاں","tera asar hai ai ghamefurqat kahan kahan"
"ہر جنبش نگاہ میں صد کیف بی خودی","har jumbishenigah men sadkaif bekhudi"
"بہرتی پہری گی حسن کی نیت کہاں کہاں","bharti phiregi husn ki niyyat kahan kahan"
"راہ طلب میں چہوڑ دیا دل کا ساتہ بہی","rahetalab men chhod diya dil ka saath bhi"
"پہرتی لیی ہوئی یہ مصیبت کہاں کہاں","phirte liye hue ye musibat kahan kahan"
"دل کی افق تک اب تو ہیں پرچہائیاں تری","dil ke ufaq tak ab to hain parchhaiyan tiri"
"لی جائی اب تو دیکہ یہ وحشت کہاں کہاں","le jaae ab to dekh ye vahshat kahan kahan"
"ای نرگس سیاہ بتا دی تری نثار","ai nargisesiyah bata de tire nisar"
"کس کس کو ہی یہ ہوش یہ غفلت کہاں کہاں","kis kis ko hai ye hosh ye ghaflat kahan kahan"
"نیرنگ عشق کی ہی کوئی انتہا کہ یہ","nairangeishq ki hai koi intiha ki ye"
"یہ غم کہاں کہاں یہ مسرت کہاں کہاں","ye gham kahan kahan ye masarrat kahan kahan"
"بیگانگی پر اس کی زمانی سی احتراز","beganagi par us ki zamane se ehtiraz"
"در پردہ اس ادا کی شکایت کہاں کہاں","darparda us ada ki shikayat kahan kahan"
"فرق ا گیا تہا دور حیات و ممات میں","farq aa gaya tha daurehayatomamat men"
"ائی ہی اج یاد وہ صورت کہاں کہاں","aai hai aaj yaad vo surat kahan kahan"
"جیسی فنا بقا میں بہی کوئی کمی سی ہو","jaise fana baqa men bhi koi kami si ho"
"مجہ کو پڑی ہی تیری ضرورت کہاں کہاں","mujh ko padi hai teri zarurat kahan kahan"
"دنیا سی ای دل اتنی طبیعت بہری نہ تہی","duniya se ai dal itni tabiat bhari na thi"
"تیری لئی اٹہائی ندامت کہاں کہاں","tere liye uthai nadamat kahan kahan"
"اب امتیاز عشق و ہوس بہی نہیں رہا","ab imtiyazeishqohavas bhi nahin raha"
"ہوتی ہی تیری چشم عنایت کہاں کہاں","hoti hai teri chashmeinayat kahan kahan"
"ہر گام پر طریق محبت میں موت تہی","har gaam par tariqemohabbat men maut thi"
"اس راہ میں کہلی در رحمت کہاں کہاں","is raah men khule darerahmat kahan kahan"
"ہوش و جنوں بہی اب تو بس اک بات ہیں فراقؔ","hoshojunun bhi ab to bas ik baat hain firaq"
"ہوتی ہی اس نظر کی شرارت کہاں کہاں","hoti hai us nazar ki shararat kahan kahan"
"اج بہی قافلۂ عشق رواں ہی کہ جو تہا","aaj bhi qafilaeishq ravan hai ki jo tha"
"وہی میل اور وہی سنگ نشاں ہی کہ جو تہا","vahi miil aur vahi sangenishan hai ki jo tha"
"پہر ترا غم وہی رسوائی جہاں ہی کہ جو تہا","phir tira gham vahi rusvaejahan hai ki jo tha"
"پہر فسانہ بحدیث دگراں ہی کہ جو تہا","phir fasana bahadisedigran hai ki jo tha"
"منزلیں گرد کی مانند اڑی جاتی ہیں","manzilen gard ke manind udi jaati hain"
"وہی انداز جہان گزراں ہی کہ جو تہا","vahi andazejahaneguzaran hai ki jo tha"
"ظلمت و نور میں کچہ بہی نہ محبت کو ملا","zulmat o nuur men kuchh bhi na mohabbat ko mila"
"اج تک ایک دہندلکی کا سماں ہی کہ جو تہا","aaj tak ek dhundalke ka saman hai ki jo tha"
"یوں تو اس دور میں بی کیف سی ہی بزم حیات","yuun to is daur men bekaif si hai bazmehayat"
"ایک ہنگامہ سر رطل گراں ہی کہ جو تہا","ek hangama sareritlegiran hai ki jo tha"
"لاکہ کر جور و ستم لاکہ کر احسان و کرم","laakh kar jaurositam laakh kar ehsanokaram"
"تجہ پہ ای دوست وہی وہم و گماں ہی کہ جو تہا","tujh pe ai dost vahi vahmoguman hai ki jo tha"
"اج پہر عشق دو عالم سی جدا ہوتا ہی","aaj phir ishq doalam se juda hota hai"
"استینوں میں لیی کون و مکاں ہی کہ جو تہا","astinon men liye kaunomakan hai ki jo tha"
"عشق افسردہ نہیں اج بہی افسردہ بہت","ishq afsurda nahin aaj bhi afsurda bahut"
"وہی کم کم اثر سوز نہاں ہی کہ جو تہا","vahi kam kam asresozenihan hai ki jo tha"
"نظر ا جاتی ہیں تم کو تو بہت نازک بال","nazar aa jaate hain tum ko to bahut nazuk baal"
"دل مرا کیا وہی ای شیشہ گراں ہی کہ جو تہا","dil mira kya vahi ai shishagiran hai ki jo tha"
"جان دی بیٹہی تہی اک بار ہوس والی بہی","jaan de baithe the ik baar havas vaale bhi"
"پہر وہی مرحلۂ سود و زیاں ہی کہ جو تہا","phir vahi marhalaesudoziyan hai ki jo tha"
"اج بہی صید گہ عشق میں حسن سفاک","aaj bhi saidgaheishq men husanesaffak"
"لیی ابرو کی لچکتی سی کماں ہی کہ جو تہا","liye abru ki lachakti si kaman hai ki jo tha"
"پہر تری چشم سخن سنج نی چہیڑی کوئی بات","phir tiri chashmesukhansanj ne chhedi koi baat"
"وہی جادو ہی وہی حسن بیاں ہی کہ جو تہا","vahi jaadu hai vahi husnebayan hai ki jo tha"
"رات بہر حسن پر ائی بہی گئی سو سو رنگ","raat bhar husn par aae bhi gae sau sau rang"
"شام سی عشق ابہی تک نگراں ہی کہ جو تہا","shaam se ishq abhi tak nigaran hai ki jo tha"
"جو بہی کر جور و ستم جو بہی کر احسان و کرم","jo bhi kar jaurositam jo bhi kar ehsanokaram"
"تجہ پہ ای دوست وہی وہم و گماں ہی کہ جو تہا","tujh pe ai dost vahi vahmoguman hai ki jo tha"
"انکہ جہپکی کہ ادہر ختم ہوا روز وصال","aankh jhapki ki idhar khatm hua rozevisal"
"پہر بہی اس دن پہ قیامت کا گماں ہی کہ جو تہا","phir bhi is din pe qayamat ka guman hai ki jo tha"
"قرب ہی کم ہی نہ دوری ہی زیادہ لیکن","qurb hi kam hai na duuri hi ziyada lekin"
"اج وہ ربط کا احساس کہاں ہی کہ جو تہا","aaj vo rabt ka ehsas kahan hai ki jo tha"
"تیرہ بختی نہیں جاتی دل سوزاں کی فراقؔ","tirabakhti nahin jaati dilesozan ki firaq"
"شمع کی سر پہ وہی اج دہواں ہی کہ جو تہا","shama ke sar pe vahi aaj dhuan hai ki jo tha"
"انکہوں میں جو بات ہو گئی ہی","ankhon men jo baat ho gai hai"
"اک شرح حیات ہو گئی ہی","ik sharhehayat ho gai hai"
"جب دل کی وفات ہو گئی ہی","jab dil ki vafat ho gai hai"
"ہر چیز کی رات ہو گئی ہی","har chiiz ki raat ho gai hai"
"غم سی چہٹ کر یہ غم ہی مجہ کو","gham se chhut kar ye gham hai mujh ko"
"کیوں غم سی نجات ہو گئی ہی","kyuun gham se najat ho gai hai"
"مدت سی خبر ملی نہ دل کی","muddat se khabar mili na dil ki"
"شاید کوئی بات ہو گئی ہی","shayad koi baat ho gai hai"
"جس شی پہ نظر پڑی ہی تیری","jis shai pe nazar padi hai teri"
"تصویر حیات ہو گئی ہی","tasvirehayat ho gai hai"
"اب ہو مجہی دیکہیی کہاں صبح","ab ho mujhe dekhiye kahan subh"
"ان زلفوں میں رات ہو گئی ہی","un zulfon men raat ho gai hai"
"دل میں تجہ سی تہی جو شکایت","dil men tujh se thi jo shikayat"
"اب غم کی نکات ہو گئی ہی","ab gham ke nikat ho gai hai"
"اقرار گناہ عشق سن لو","iqraregunaheishq sun lo"
"مجہ سی اک بات ہو گئی ہی","mujh se ik baat ho gai hai"
"جو چیز بہی مجہ کو ہاتہ ائی","jo chiiz bhi mujh ko haath aai"
"تیری سوغات ہو گئی ہی","teri saughat ho gai hai"
"کیا جانیی موت پہلی کیا تہی","kya janiye maut pahle kya thi"
"اب میری حیات ہو گئی ہی","ab meri hayat ho gai hai"
"گہٹتی گہٹتی تری عنایت","ghatte ghatte tiri inayat"
"میری اوقات ہو گئی ہی","meri auqat ho gai hai"
"اس چشم سیہ کی یاد یکسر","us chashmesiyah ki yaad yaksar"
"شام ظلمات ہو گئی ہی","shamezulmat ho gai hai"
"اس دور میں زندگی بشر کی","is daur men zindagi bashar ki"
"بیمار کی رات ہو گئی ہی","bimar ki raat ho gai hai"
"جیتی ہوئی بازی محبت","jiiti hui baziemohabbat"
"کہیلا ہوں تو مات ہو گئی ہی","khela huun to maat ho gai hai"
"مٹنی لگیں زندگی کی قدریں","mitne lagin zindagi ki qadren"
"جب غم سی نجات ہو گئی ہی","jab gham se najat ho gai hai"
"وہ چاہیں تو وقت بہی بدل جائی","vo chahen to vaqt bhi badal jaae"
"جب ائی ہیں رات ہو گئی ہی","jab aae hain raat ho gai hai"
"دنیا ہی کتنی بی ٹہکانہ","duniya hai kitni bethikana"
"عاشق کی برات ہو گئی ہی","ashiq ki barat ho gai hai"
"پہلی وہ نگاہ اک کرن تہی","pahle vo nigah ik kiran thi"
"اب برق صفات ہو گئی ہی","ab barqsifat ho gai hai"
"جس چیز کو چہو دیا ہی تو نی","jis chiiz ko chhu diya hai tu ne"
"اک برگ نبات ہو گئی ہی","ik bargenabat ho gai hai"
"اکا دکا صدائی زنجیر","ikkadukka sadaezanjir"
"زنداں میں رات ہو گئی ہی","zindan men raat ho gai hai"
"ایک ایک صفت فراقؔ اس کی","ek ek sifat firaq us ki"
"دیکہا ہی تو ذات ہو گئی ہی","dekha hai to zaat ho gai hai"
"اب اکثر چپ چپ سی رہیں ہیں یونہی کبہو لب کہولیں ہیں","ab aksar chup chup se rahen hain yunhi kabhu lab kholen hain"
"پہلی فراقؔ کو دیکہا ہوتا اب تو بہت کم بولیں ہیں","pahle firaq ko dekha hota ab to bahut kam bolen hain"
"دن میں ہم کو دیکہنی والو اپنی اپنی ہیں اوقات","din men ham ko dekhne vaalo apne apne hain auqat"
"جاؤ نہ تم ان خشک انکہوں پر ہم راتوں کو رو لیں ہیں","jaao na tum in khushk ankhon par ham raton ko ro len hain"
"فطرت میری عشق و محبت قسمت میری تنہائی","fitrat meri ishqomohabbat qismat meri tanhai"
"کہنی کی نوبت ہی نہ ائی ہم بہی کسو کی ہو لیں ہیں","kahne ki naubat hi na aai ham bhi kisu ke ho len hain"
"خنک سیہ مہکی ہوئی سائی پہیل جائیں ہیں جل تہل پر","khunuk siyah mahke hue saae phail jaaen hain jalthal par"
"کن جتنوں سی میری غزلیں رات کا جوڑا کہولیں ہیں","kin jatanon se meri ghazlen raat ka juuda kholen hain"
"باغ میں وہ خواب اور عالم موج صبا کی اشاروں پر","baagh men vo khvabavar aalam maujesaba ke isharon par"
"ڈالی ڈالی نورس پتی سہج سہج جب ڈولیں ہیں","daali daali nauras patte sahj sahj jab dolen hain"
"اف وہ لبوں پر موج تبسم جیسی کروٹیں لیں کوندی","uf vo labon par maujetabassum jaise karvaten len kaunde"
"ہائی وہ عالم جنبش مژگاں جب فتنی پر تولیں ہیں","haae vo alamejumbishemizhgan jab fitne par taulen hain"
"نقش و نگار غزل میں جو تم یہ شادابی پاؤ ہو","naqshonigareghazal men jo tum ye shadabi paao ho"
"ہم اشکوں میں کائنات کی نوک قلم کو ڈبو لیں ہیں","ham ashkon men kaenat ke nokeqalam ko dubo len hain"
"ان راتوں کو حریم ناز کا اک عالم ہوئی ہی ندیم","in raton ko harimenaz ka ik aalam hue hai nadim"
"خلوت میں وہ نرم انگلیاں بند قبا جب کہولیں ہیں","khalvat men vo narm ungliyan bandeqaba jab kholen hain"
"غم کا فسانہ سننی والو اخر شب ارام کرو","gham ka fasana sunne vaalo akhireshab aram karo"
"کل یہ کہانی پہر چہیڑیں گی ہم بہی ذرا اب سو لیں ہیں","kal ye kahani phir chhedenge ham bhi zara ab so len hain"
"ہم لوگ اب تو اجنبی سی ہیں کچہ تو بتاؤ حال فراقؔ","ham log ab to ajnabi se hain kuchh to batao halefiraq"
"اب تو تمہیں کو پیار کریں ہیں اب تو تمہیں سی بولیں ہیں","ab to tumhin ko pyaar karen hain ab to tumhin se bolen hain"
"اب دور اسماں ہی نہ دور حیات ہی","ab daureasman hai na daurehayat hai"
"ای درد ہجر تو ہی بتا کتنی رات ہی","ai dardehijr tu hi bata kitni raat hai"
"ہر کائنات سی یہ الگ کائنات ہی","har kaenat se ye alag kaenat hai"
"حیرت سرائی عشق میں دن ہی نہ رات ہی","hairatsaraeishq men din hai na raat hai"
"جینا جو ا گیا تو اجل بہی حیات ہی","jiina jo aa gaya to ajal bhi hayat hai"
"اور یوں تو عمر خضر بہی کیا بی ثبات ہی","aur yuun to umrekhizr bhi kya besabat hai"
"کیوں انتہائی ہوش کو کہتی ہیں بی خودی","kyuun intihaehosh ko kahte hain bekhudi"
"خورشید ہی کی اخری منزل تو رات ہی","khurshid hi ki akhiri manzil to raat hai"
"ہستی کو جس نی زلزلہ ساماں بنا دیا","hasti ko jis ne zalzalasaman bana diya"
"وہ دل قرار پائی مقدر کی بات ہی","vo dil qarar paae muqaddar ki baat hai"
"یہ موشگافیاں ہیں گراں طبع عشق پر","ye mushagafiyan hain giran tabeishq par"
"کس کو دماغ کاوش ذات و صفات ہی","kis ko dimaghekavishezatosifat hai"
"توڑا ہی لا مکاں کی حدوں کو بہی عشق نی","toda hai lamakan ki hadon ko bhi ishq ne"
"زندان عقل تیری تو کیا کائنات ہی","zindaneaql teri to kya kaenat hai"
"گردوں شرار برق دل بی قرار دیکہ","gardun shararebarqedilebeqarar dekh"
"جن سی یہ تیری تاروں بہری رات رات ہی","jin se ye teri taron bhari raat raat hai"
"گم ہو کی ہر جگہ ہیں زخود رفتگان عشق","gum ho ke har jagah hain zakhud raftaganeishq"
"ان کی بہی اہل کشف و کرامات ذات ہی","un ki bhi ahlekashfokaramat zaat hai"
"ہستی بجز فنائی مسلسل کی کچہ نہیں","hasti bajuz fanaemusalsal ke kuchh nahin"
"پہر کس لیی یہ فکر قرار و ثبات ہی","phir kis liye ye fikreqararosabat hai"
"اس جان دوستی کا خلوص نہاں نہ پوچہ","us janedosti ka khulusenihan na puchh"
"جس کا ستم بہی غیرت صد التفات ہی","jis ka sitam bhi ghairatesadiltifat hai"
"یوں تو ہزار درد سی روتی ہیں بد نصیب","yuun to hazar dard se rote hain badnasib"
"تم دل دکہاؤ وقت مصیبت تو بات ہی","tum dil dukhao vaqtemusibat to baat hai"
"عنوان غفلتوں کی ہیں قربت ہو یا وصال","unvan ghaflaton ke hain qurbat ho ya visal"
"بس فرصت حیات فراقؔ ایک رات ہی","bas fursatehayat firaq ek raat hai"
"اپنی غم کا مجہی کہاں غم ہی","apne gham ka mujhe kahan gham hai"
"ای کہ تیری خوشی مقدم ہی","ai ki teri khushi muqaddam hai"
"اگ میں جو پڑا وہ اگ ہوا","aag men jo pada vo aag hua"
"حسن سوز نہاں مجسم ہی","husnesozenihan mujassam hai"
"اس کی شیطان کو کہاں توفیق","us ke shaitan ko kahan taufiq"
"عشق کرنا گناہ ادم ہی","ishq karna gunaheadam hai"
"دل کی دہڑکوں میں زور ضرب کلیم","dil ke dhadkon men zorezarbekalim"
"کس قدر اس حباب میں دم ہی","kis qadar is habab men dam hai"
"ہی وہی عشق زندہ و جاوید","hai vahi ishq zindaojaved"
"جسی اب حیات بہی سم ہی","jise abehayat bhi sam hai"
"اس میں ٹہہراؤ یا سکون کہاں","is men thahrav ya sukun kahan"
"زندگی انقلاب پیہم ہی","zindagi inqalabepaiham hai"
"اک تڑپ موج تہ نشیں کی طرح","ik tadap maujetahnashin ki tarah"
"زندگی کی بنائی محکم ہی","zindagi ki binaemohkam hai"
"رہتی دنیا میں عشق کی دنیا","rahti duniya men ishq ki duniya"
"نئی عنوان سی منظم ہی","nae unvan se munazzam hai"
"اٹہنی والی ہی بزم ماضی کی","uthne vaali hai bazm maazi ki"
"روشنی کم ہی زندگی کم ہی","raushni kam hai zindagi kam hai"
"یہ بہی نظم حیات ہی کوئی","ye bhi nazmehayat hai koi"
"زندگی زندگی کا ماتم ہی","zindagi zindagi ka matam hai"
"اک معمہ ہی زندگی ای دوست","ik muamma hai zindagi ai dost"
"یہ بہی تیری ادائی‌ مبہم ہی","ye bhi teri adaemubham hai"
"ای محبت تو اک عذاب سہی","ai mohabbat tu ik azaab sahi"
"زندگی بی تری جہنم ہی","zindagi be tire jahannam hai"
"اک تلاطم سا رنگ و نکہت کا","ik talatum sa rangonikhat ka"
"پیکر ناز میں دما دم ہی","paikarenaz men damadam hai"
"پہرنی کو ہی رسیلی نیم نگاہ","phirne ko hai rasili nimnigah"
"اہوئی ناز مائل رم ہی","ahuenaz maileram hai"
"روپ کی جوت زیر پیراہن","ruup ke jot zerepairahan"
"گلستاں پر ردائی شبنم ہی","gulsitan par ridaeshabnam hai"
"میری سینی سی لگ کی سو جاو","mere siine se lag ke so jaao"
"پلکیں بہاری ہیں رات بہی کم ہی","palken bhari hain raat bhi kam hai"
"اہ یہ مہربانیاں تیری","aah ye mehrbaniyan teri"
"شادمانی کی انکہ پر نم ہی","shadmani ki aankh purnam hai"
"نرم و دوشیزہ کس قدر ہی نگاہ","narm o doshiza kis qadr hai nigah"
"ہر نظر داستان مریم ہی","har nazar dastanemaryam hai"
"مہر و مہ شعلہ ہائی ساز جمال","mehromah sholahaesazejamal"
"جس کی جہنکار اتنی مدہم ہی","jis ki jhankar itni maddham hai"
"جیسی اچہلی جنوں کی پہلی شام","jaise uchhle junun ki pahli shaam"
"اس ادا سی وہ زلف برہم ہی","is ada se vo zulf barham hai"
"یوں بہی دل میں نہیں وہ پہلی امنگ","yuun bhi dil men nahin vo pahli umang"
"اور تیری نگاہ بہی کم ہی","aur teri nigah bhi kam hai"
"اور کیوں چہیڑتی ہی گردش چرخ","aur kyuun chhedti hai gardishecharkh"
"وہ نظر پہر گئی یہ کیا کم ہی","vo nazar phir gai ye kya kam hai"
"روکش صد حریم دل ہی فضا","rukashesadharimedil hai faza"
"وہ جہاں ہیں عجیب عالم ہی","vo jahan hain ajiib aalam hai"
"دئی جاتی ہی لو صدائی فراقؔ","diye jaati hai lau sadaefiraq"
"ہاں وہی سوز و ساز کم کم ہی","haan vahi sozosaz kam kam hai"
"بحثیں چہڑی ہوئی ہیں حیات و ممات کی","bahsen chhidi hui hain hayatomamat ki"
"سو بات بن گئی ہی فراقؔ ایک بات کی","sau baat ban gai hai firaq ek baat ki"
"ساز نوائی درد حجابات دہر میں","saznavaedard hijabatedahr men"
"کتنی دکہی ہوئی ہیں رگیں کائنات کی","kitni dukhi hui hain ragen kaenat ki"
"رکہ لی جنہوں نی کشمکش زندگی کی لاج","rakh li jinhon ne kashmakashezindagi ki laaj"
"بی دردیاں نہ پوچہئی ان سی حیات کی","bedardiyan na puchhiye un se hayat ki"
"یوں فرط بی خودی سی محبت میں جان دی","yuun fartebekhudi se mohabbat men jaan de"
"تجہ کو بہی کچہ خبر نہ ہو اس واردات کی","tujh ko bhi kuchh khabar na ho is vardat ki"
"ہی عشق اس تبسم جاں بخش کا شہید","hai ishq us tabassumejanbakhsh ka shahid"
"رنگینیاں لئی ہی جو صبح حیات کی","ranginiyan liye hai jo subhehayat ki"
"چہیڑا ہی درد عشق نی تار رگ عدم","chheda hai dardeishq ne tarerageadam"
"صورت پکڑ چلی ہیں نوائیں حیات کی","surat pakad chali hain navaen hayat ki"
"شام ابد کو جلوۂ صبح بہار دی","shameabad ko jalvaesubhebahar de"
"روداد چہیڑ زندگی بی ثبات کی","rudad chhed zindagiebesabat ki"
"اس بزم بی خودی میں وجود عدم کہاں","us bazmebekhudi men vajudeadam kahan"
"چلتی نہیں ہی سانس حیات و ممات کی","chalti nahin hai saans hayatomamat ki"
"سو درد اک تبسم پنہاں میں بند ہیں","sau dard ik tabassumepinhan men band hain"
"تصویر ہوں فراقؔ نشاط حیات کی","tasvir huun firaq nashatehayat ki"
